Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,exchange,Symbol
2024-04-01 00:00:00-04:00,265.6286728619408,265.6286728619408,254.7248090858349,257.5121154785156,889000,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-04-08 00:00:00-04:00,257.5121181479481,258.16967099155875,249.1796261251324,250.0433044433593,1039500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-04-15 00:00:00-04:00,251.98656775729293,252.80115575195643,247.76634181626727,248.6300201416016,1013100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-04-22 00:00:00-04:00,249.42498391388744,253.8218630551456,248.80666740275743,250.5830993652344,600500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-04-29 00:00:00-04:00,251.0345846401173,254.90148932805155,250.27886603963705,253.23301696777344,572400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-05-06 00:00:00-04:00,254.1653917797532,258.36598474970793,253.0563516113968,257.3256530761719,907100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-05-13 00:00:00-04:00,258.01264927508635,262.5371061483024,256.96249366215966,262.1543273925781,578900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-05-20 00:00:00-04:00,262.09545622121937,263.41062179353554,258.4739137477273,258.62115478515625,669800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-05-27 00:00:00-04:00,258.5131673469997,258.5131673469997,252.5361579357601,257.580810546875,709100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-06-03 00:00:00-04:00,257.51210466281964,263.44005375817443,257.1784162303228,261.9187927246094,622500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-06-10 00:00:00-04:00,261.5851657462624,263.6854774900616,259.57321062279584,261.05517578125,550200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-06-17 00:00:00-04:00,260.1619951865549,263.1357788283456,259.5437086463484,262.6647033691406,604900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-06-24 00:00:00-04:00,263.8620717687378,265.4912776288233,260.03443388125504,261.06494140625,690300,0.966,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-07-01 00:00:00-04:00,262.7895455618704,265.1929606531782,257.056808087031,259.96258544921875,669900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-07-08 00:00:00-04:00,260.31717460944805,268.90642120718263,259.00713091200646,268.03961181640625,688200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-07-15 00:00:00-04:00,268.95564569742623,273.4965350956715,265.192948848825,266.837890625,692600,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-07-22 00:00:00-04:00,268.15778848812766,273.9003852620791,266.85760455475463,271.2999572753906,911500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-07-29 00:00:00-04:00,271.2999528343582,273.4177078291709,267.9706307210386,271.77276611328125,1384100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-08-05 00:00:00-04:00,265.97108508824067,271.1423622289214,262.46446908907205,270.3543701171875,940400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-08-12 00:00:00-04:00,271.1127739209845,276.1954034657889,268.7389081995178,275.7423095703125,516800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-08-19 00:00:00-04:00,275.80146122957615,281.1500323525989,275.75222299263174,281.1204833984375,765600,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-08-26 00:00:00-04:00,281.4947492721808,283.93757268099404,279.9778330391292,283.77996826171875,492700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-09-02 00:00:00-04:00,282.1744679674253,284.80444533059216,276.5205471951936,277.170654296875,641700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-09-09 00:00:00-04:00,277.8305577965453,282.6472475404585,275.53550896071545,281.8493957519531,686800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-09-16 00:00:00-04:00,283.26778329469147,284.3512950309131,279.6134224052276,280.7954406738281,591200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-09-23 00:00:00-04:00,281.37660102527207,281.5637544260423,276.0871276855469,276.0871276855469,827000,1.167,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-09-30 00:00:00-04:00,277.245694933942,279.4613072674694,273.3881973771901,274.7828369140625,801200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-10-07 00:00:00-04:00,274.8619935173017,278.8085069295318,272.7452974813901,278.6898193359375,771700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-10-14 00:00:00-04:00,278.94697973208594,280.6383685808559,276.2862886969344,278.2644958496094,650000,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-10-21 00:00:00-04:00,277.4237257815872,277.9281479775467,269.4020817055876,269.6691589355469,571400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-10-28 00:00:00-04:00,270.4505442081794,271.6176790137057,265.41601136074433,268.7591857910156,705800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-11-04 00:00:00-05:00,268.0569632279958,275.5741260735127,265.9501678330903,274.4465637207031,934400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-11-11 00:00:00-05:00,274.1992612371434,275.2971515843128,257.79003852685645,257.9284973144531,1793300,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-11-18 00:00:00-05:00,257.344921307396,264.0708426936618,255.01065171833773,262.933349609375,1590200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-11-25 00:00:00-05:00,264.3675541488685,269.81752351330823,264.308210359985,269.27349853515625,683500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-12-02 00:00:00-05:00,269.1944196567426,269.43179484411974,263.7939228486028,264.04119873046875,1033700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-12-09 00:00:00-05:00,264.34778679171126,265.4061044988832,256.3162719389265,257.5921936035156,1235800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-12-16 00:00:00-05:00,257.52295955248724,258.9967442176671,247.3451067931492,251.1234741210937,2898900,0.919,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-12-23 00:00:00-05:00,252.4284398337012,256.2302541285149,251.17770331976087,254.49313354492188,1309100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2024-12-30 00:00:00-05:00,252.9247517540548,255.44605145443825,250.28432491792464,254.691635131836,1532700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-01-06 00:00:00-05:00,254.72142992521424,258.5331955906701,254.20526784007,255.5850524902344,1220500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-01-13 00:00:00-05:00,255.77366313943529,259.2875883162225,254.0166702580609,256.6273193359375,1718600,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-01-20 00:00:00-05:00,258.1460452226512,265.15408362202834,258.1460452226512,264.4790954589844,1794900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-01-27 00:00:00-05:00,265.22355237519406,272.1620980696027,265.22355237519406,268.7771911621094,1569200,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-02-03 00:00:00-05:00,266.7025772822702,272.1720347982825,266.3849251293564,267.4272155761719,1282100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-02-10 00:00:00-05:00,267.9632817250992,267.9632817250992,264.6875503072066,264.7272644042969,1025800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-02-17 00:00:00-05:00,263.5460206510833,268.8764946399741,263.5460206510833,266.8018798828125,929100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-02-24 00:00:00-05:00,267.0698626445533,270.3356577386152,265.38239229740776,269.8492736816406,1143300,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-03-03 00:00:00-05:00,269.98821677804204,271.70549534701684,266.38492775861306,269.55145263671875,1171300,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-03-10 00:00:00-04:00,267.35774748766886,270.097444539776,259.0195746295359,262.1166076660156,921100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-03-17 00:00:00-04:00,261.6798599195768,267.0202701698508,261.6798599195768,264.9754333496094,665700,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-03-24 00:00:00-04:00,266.23606690160887,267.8739174642537,260.71698883165385,260.96514892578125,850700,0.94,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-03-31 00:00:00-04:00,260.1457546409886,264.9669542202673,243.91901047418384,243.9787750244141,1445600,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-04-07 00:00:00-04:00,237.1753189876921,251.36000668043908,233.2008091122392,247.1464385986328,3322500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-04-14 00:00:00-04:00,249.85587731996424,251.1010228144028,244.158090321451,245.17413330078125,843900,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-04-21 00:00:00-04:00,244.1082831566353,250.65277521661787,238.1813936018628,250.493392944336,1162800,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-04-28 00:00:00-04:00,250.9814946303489,255.6433272823628,248.49120363234763,252.24655151367188,1113100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-05-05 00:00:00-04:00,251.67877228182687,252.5254620987782,241.6279614932523,241.7574462890625,1490000,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-05-12 00:00:00-04:00,242.3352031264791,248.2322105499345,233.22074389992272,243.5205841064453,2923100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-05-19 00:00:00-04:00,242.95278884431315,247.03687224757303,236.8665169079744,238.20132446289065,1424100,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-05-26 00:00:00-04:00,240.36289307646456,243.92899165271183,239.4165855256755,242.80337524414065,994400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-06-02 00:00:00-04:00,242.2455479584356,247.5448792635333,240.0640506266257,246.7081451416016,1343500,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
2025-06-09 00:00:00-04:00,246.82767036814536,251.3799295067932,245.0047907738281,249.2980499267578,2203400,0.0,0.0,0.0,217810,382560,289.14,234.11,247.4832,256.7025,13826892800,PCX,VHT
