Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,exchange,Symbol
2024-06-17 00:00:00-04:00,144.09003154298796,146.18667602539062,143.5708559039994,146.18667602539062,69200,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-06-24 00:00:00-04:00,145.63754629482406,150.86920166015625,145.35799370315104,150.86920166015625,48900,0.135,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-07-01 00:00:00-04:00,151.5580931672733,152.44749450683594,150.1890033928527,152.44749450683594,43100,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-07-08 00:00:00-04:00,152.39750649189983,154.09636089161097,147.67068974046185,153.8265380859375,96100,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-07-15 00:00:00-04:00,154.95578368184175,159.61265541402108,153.40682236766645,154.0763702392578,40300,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-07-22 00:00:00-04:00,155.40548245801145,157.59401308634995,152.3275505730253,156.71461486816406,32100,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-07-29 00:00:00-04:00,157.92378198774216,157.92378198774216,145.71199420330103,147.60072326660156,46000,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-08-05 00:00:00-04:00,139.39626357922614,148.19033748829025,136.74803531806975,147.19100952148438,76800,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-08-12 00:00:00-04:00,146.93118287190885,152.38752002499078,145.7319924174998,152.21763610839844,51500,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-08-19 00:00:00-04:00,152.47746121769853,156.6546447506848,152.47746121769853,156.6046905517578,29700,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-08-26 00:00:00-04:00,157.294212534205,158.39347937375203,154.5560637223895,157.12432861328125,35500,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-09-02 00:00:00-04:00,156.96444326672986,157.05437911962562,148.5500887855804,148.9498291015625,56500,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-09-09 00:00:00-04:00,150.19898617685294,155.53539349457654,148.50013179930653,155.27557373046875,93500,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-09-16 00:00:00-04:00,155.69530276391706,159.54270634842712,155.45545855858177,158.65330505371094,32600,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-09-23 00:00:00-04:00,159.14298916699087,161.79120235355794,158.04372223188625,160.66197204589844,36100,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-09-30 00:00:00-04:00,159.72259119031224,160.8918030847687,156.20495246818598,160.1023406982422,31200,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-10-07 00:00:00-04:00,159.36282142271276,164.2395464539323,157.58401898070895,164.16958618164062,50400,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-10-14 00:00:00-04:00,164.8791285746616,167.36744548074338,164.43942182458943,167.04766845703125,29100,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
2024-10-21 00:00:00-04:00,166.56796611354426,167.4773581570649,162.23088671164606,165.43873596191406,38400,0.0,0.0,0.0,13474,13840,206.0,137.55,186.9268,181.8202,PCX,XSW
