Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,fiftyTwoWeekHigh,fiftyTwoWeekLow,exchange,Symbol
2025-08-20 00:00:00-04:00,2831.60009765625,2844.389892578125,2816.719970703125,2823.929931640625,26784796,0.0,0.0,26784796,2844.39,2816.72,DJI,^DJUSCS
2025-08-29 00:00:00-04:00,2794.68994140625,2794.68994140625,2766.580078125,2777.89990234375,20535009,0.0,0.0,20535009,2794.69,2766.58,DJI,^DJUSCS
