Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,exchange,Symbol
2024-02-02 00:00:00-05:00,296.3900281991585,300.9627947765297,295.37276275086793,299.580078125,108000,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-05 00:00:00-05:00,296.7455617290981,296.7455617290981,292.39996265584483,295.3036193847656,54100,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-06 00:00:00-05:00,294.53329027872473,297.05175413681394,294.53329027872473,296.83447265625,30500,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-07 00:00:00-05:00,298.4344530824156,300.67637948045063,297.75298075863765,299.6294860839844,56000,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-08 00:00:00-05:00,299.87642515366923,301.96032613241925,299.7579134578572,301.5652770996094,46600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-09 00:00:00-05:00,302.0294649284196,304.9232359861851,301.7430415729155,304.26153564453125,48600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-12 00:00:00-05:00,304.1924226033566,306.41460750873824,304.1924226033566,304.8343811035156,58200,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-13 00:00:00-05:00,298.1776623713852,299.8961420982631,296.64680605372246,298.1085205078125,53700,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-14 00:00:00-05:00,299.5307321040468,301.88131443004715,298.1677873845805,301.47637939453125,31100,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-15 00:00:00-05:00,302.3356052820907,305.2096342007836,301.960298186547,305.0713806152344,32500,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-16 00:00:00-05:00,303.35290726094587,305.1701569745719,301.72331111766863,303.560302734375,28100,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-20 00:00:00-05:00,300.34060334083256,301.23935718310395,298.8393748832768,300.3208312988281,43700,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-21 00:00:00-05:00,300.5875568590861,302.6023463192222,300.06411005438,301.9603576660156,32500,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-22 00:00:00-05:00,304.8837238738937,308.10340179288767,304.28124929517213,307.7676086425781,43300,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-23 00:00:00-05:00,306.64177668022216,307.6491563255431,306.2664695161873,306.5923767089844,29600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-26 00:00:00-05:00,307.1553013088685,308.96266490049373,307.1553013088685,307.33306884765625,38700,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-27 00:00:00-05:00,308.8935513390507,309.8713029368852,307.89602769904053,308.873779296875,32600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-28 00:00:00-05:00,307.9453718385894,311.0070542299398,307.9453718385894,309.486083984375,30300,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-02-29 00:00:00-05:00,310.61200900661964,312.69590976663034,309.6243714581089,311.836669921875,77500,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-01 00:00:00-05:00,312.1823616448745,313.9502413670814,310.57250755362026,313.46630859375,76800,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-04 00:00:00-05:00,312.6861171383626,313.1107941364547,309.7133178710937,309.7133178710937,36200,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-05 00:00:00-05:00,308.113309215101,308.113309215101,305.505931433508,306.15777587890625,48100,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-06 00:00:00-05:00,307.8762947672925,308.1923159079209,304.38993507653225,304.8541259765625,43700,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-07 00:00:00-05:00,306.1676379123234,308.77501548963323,306.1676379123234,307.3626708984375,73300,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-08 00:00:00-05:00,308.2120750386625,309.9305548287647,305.4762995793528,306.32568359375,36100,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-11 00:00:00-04:00,305.4368186182912,306.27628647923035,304.45903688352433,305.1800231933594,33300,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-12 00:00:00-04:00,306.0787905500185,308.55777071927065,304.735587660675,307.78741455078125,35600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-13 00:00:00-04:00,307.18489290897816,309.6144727393836,307.18489290897816,307.8762512207031,29700,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
2024-03-14 00:00:00-04:00,308.24170023197786,308.24170023197786,304.2121219552897,305.9207458496094,32600,0.0,0.0,0.0,32450,38380,402.25,285.13,367.4914,359.31784,PCX,VCR
