Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,exchange,Symbol
2024-01-25 00:00:00-05:00,60.05500116964817,60.20076722018729,59.676013886628056,60.17161178588867,56800,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-01-26 00:00:00-05:00,60.31738580400415,60.41456071254336,60.123032279940574,60.21049118041992,26700,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-01-29 00:00:00-05:00,60.33681541838352,60.50201348757195,60.1230261928599,60.41455459594727,29900,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-01-30 00:00:00-05:00,60.511729794345605,60.97817595441774,60.30766029437365,60.958740234375,18000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-01-31 00:00:00-05:00,61.04620250415935,61.14337740277379,60.39512252807617,60.39512252807617,21200,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-01 00:00:00-05:00,60.774115425002215,61.64870071411133,60.453431557439295,61.64870071411133,35100,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-02 00:00:00-05:00,61.580669700128034,61.891633813166656,61.31829303469208,61.609825134277344,21300,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-05 00:00:00-05:00,61.38631773768156,61.38631773768156,60.79354493093149,60.81298065185547,29000,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-06 00:00:00-05:00,60.82269454888575,61.26970499367628,60.793542822003424,61.03648376464844,19500,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
2024-02-07 00:00:00-05:00,61.11423007080933,61.201688968647545,60.91016054484852,60.96846771240234,20400,0.0,0.0,0.0,15778,14050,70.29,60.65,63.8918,64.7535,PCX,FXG
