Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,exchange,Symbol
2024-01-02 00:00:00-05:00,91.0858727595555,91.59185240145824,90.51045309439344,90.7485580444336,108000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-03 00:00:00-05:00,90.34177599387736,90.56004198917736,89.48855850455132,89.49848175048828,167100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-04 00:00:00-05:00,89.81596254896132,90.4608373251936,89.48856353759766,89.48856353759766,134100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-05 00:00:00-05:00,89.6076222897482,89.73659422090788,89.0818037491179,89.4687271118164,156000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-08 00:00:00-05:00,88.84370230404245,89.74652099609375,88.22858965671864,89.74652099609375,151300,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-09 00:00:00-05:00,89.27030380326832,89.27030380326832,88.69487662241664,89.13140106201172,138100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-10 00:00:00-05:00,89.33975358512956,89.86557211636922,89.33975358512956,89.72667694091797,159500,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-11 00:00:00-05:00,89.91516453963912,89.91516453963912,88.77424107549244,89.45879364013672,131200,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-12 00:00:00-05:00,89.88539750970796,90.20287322998048,89.61753044572293,90.20287322998048,169000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-16 00:00:00-05:00,89.84571700658238,89.94493432457736,88.44684213963313,88.7841567993164,130100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-17 00:00:00-05:00,88.27819359801703,89.20085873500508,88.16906059273312,88.40716552734375,104600,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-18 00:00:00-05:00,88.8040190163586,89.63739013671875,88.46669672772234,89.63739013671875,263700,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-19 00:00:00-05:00,89.91516632571272,90.03422256807688,89.19092833334912,89.93501281738281,131600,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-22 00:00:00-05:00,90.17311462693402,90.65924768704356,90.10366704691836,90.4806671142578,124700,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-23 00:00:00-05:00,90.75847160656996,91.09578628569592,90.04414926345729,90.18304443359376,160700,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-24 00:00:00-05:00,90.55012810786508,90.798156297408,89.9449462890625,89.9449462890625,495400,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-25 00:00:00-05:00,90.23263869508608,90.23263869508608,89.03218334737738,89.71674346923828,200000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-26 00:00:00-05:00,89.94493478925766,90.7088581849226,89.89532613000387,90.2822494506836,217000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-29 00:00:00-05:00,90.4806729600289,90.6791000366211,89.95485445319288,90.6791000366211,102300,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-30 00:00:00-05:00,90.73862755990712,90.90728490401608,90.47076045862931,90.86759948730467,116300,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-01-31 00:00:00-05:00,90.98664861156908,91.15530594246916,90.21280196935103,90.31201171875,160500,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-01 00:00:00-05:00,90.88743820169586,91.51246643066406,90.22272455941274,91.51246643066406,190600,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-02 00:00:00-05:00,91.31405509377122,92.01845421231933,91.02634149843983,91.66129302978516,143800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-05 00:00:00-05:00,91.17516381149092,91.50256283765992,90.46084141592932,91.32398223876952,140900,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-06 00:00:00-05:00,91.55216481531174,92.29624938964844,91.35374528984318,92.29624938964844,113100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-07 00:00:00-05:00,92.46490363330018,93.0304075880074,92.34585494971095,92.84191131591795,210800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-08 00:00:00-05:00,92.8617425094168,93.00063767485426,92.4152948446848,92.81214141845705,242000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-09 00:00:00-05:00,93.14946317636246,93.39749135769674,92.78237874306876,93.36772918701172,264500,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-12 00:00:00-05:00,93.28835889811928,93.85386285210092,93.28835889811928,93.51654815673828,211600,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-13 00:00:00-05:00,92.94112107531548,93.1395405941105,92.19703652600496,92.84191131591795,251400,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-14 00:00:00-05:00,93.5363866128132,94.10189056396484,93.35780601933271,94.10189056396484,125000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-15 00:00:00-05:00,94.34992379714068,94.84598018678837,94.23087510792593,94.79637908935548,122800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-16 00:00:00-05:00,94.68723271108712,95.1733657849328,94.53841430135758,94.62770080566406,135900,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-20 00:00:00-05:00,94.40945668962787,94.89558983714036,94.23087608473476,94.35984802246094,131200,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-21 00:00:00-05:00,94.28047595487116,94.78645559034902,94.16142726597268,94.73684692382812,151800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-22 00:00:00-05:00,95.11384204973952,95.6396605407836,94.87572956498016,95.48091888427734,205800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-23 00:00:00-05:00,95.61982834412488,96.03652147013936,95.57022724596548,95.91746520996094,108400,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-26 00:00:00-05:00,96.10596106426848,96.25477191558144,95.72895338969091,95.82816314697266,132800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-27 00:00:00-05:00,95.9968237739063,96.04642486572266,95.49084419437816,96.04642486572266,105000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-28 00:00:00-05:00,96.0067350385639,97.13775039059556,95.81823878757412,96.90956115722656,139900,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-02-29 00:00:00-05:00,97.3560247750485,97.3560247750485,96.51273042244009,97.0881576538086,101300,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-01 00:00:00-05:00,97.20721249281708,97.42547094397766,96.73099503296731,97.40563201904295,101000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-04 00:00:00-05:00,97.6734868787742,98.32828485774084,97.58420037394352,98.2389907836914,107600,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-05 00:00:00-05:00,98.31836765643608,98.67552883615426,97.3857868598113,97.79254913330078,149800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-06 00:00:00-05:00,98.30843993810484,98.93347575878944,98.24891560059925,98.65568542480467,181800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-07 00:00:00-05:00,99.03268981196229,99.21127040145366,98.58624212284342,99.1418228149414,167800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-08 00:00:00-05:00,99.48905145329618,99.85613584440767,98.3282815146502,98.69536590576172,128900,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-11 00:00:00-04:00,98.31837036362468,98.60608396460978,97.33618087696482,97.83223724365234,263900,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-12 00:00:00-04:00,97.66357421875,97.7429374802001,96.86988105049676,97.66357421875,169700,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-13 00:00:00-04:00,97.56436285723603,98.04058030112988,97.56436285723603,97.92152404785156,116800,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-14 00:00:00-04:00,98.129862400476,98.21914890261712,96.76074214723056,97.43537902832033,98400,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-15 00:00:00-04:00,97.25680144486054,97.78261993599554,96.96908786930732,97.5643539428711,86000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-18 00:00:00-04:00,97.6378740007952,97.7471336691582,97.25050156860074,97.43921661376952,116900,0.114,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-19 00:00:00-04:00,97.46901021553307,98.3331527709961,97.46901021553307,98.3331527709961,120700,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-20 00:00:00-04:00,98.33315574404796,99.38601337048746,98.17422983469626,99.29662322998048,126100,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-21 00:00:00-04:00,99.78331498271793,100.1508254440272,99.4754055230829,99.80318450927734,137500,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-22 00:00:00-04:00,99.97203405425806,100.04156223874551,99.52506065854972,99.71378326416016,121500,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-25 00:00:00-04:00,99.99190056067071,100.13095693598513,99.37608163513669,99.50520324707033,122400,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
2024-03-26 00:00:00-04:00,99.65419309225946,99.84290812602,99.4555357172431,99.51513671875,357000,0.0,0.0,0.0,131341,183180,148.83,100.39,142.9562,125.5907,2200840448,PCX,PPA
