ticker,error
BSIG,index 0 is out of bounds for axis 0 with size 0
CWEN.A,'NoneType' object has no attribute 'update'
DRQ,index 0 is out of bounds for axis 0 with size 0
JBT,index 0 is out of bounds for axis 0 with size 0
MDU,index 0 is out of bounds for axis 0 with size 0
MOG.A,index 0 is out of bounds for axis 0 with size 0
SGH,index 0 is out of bounds for axis 0 with size 0
UCBI,index 0 is out of bounds for axis 0 with size 0
VVI,index 0 is out of bounds for axis 0 with size 0
BRK.B,index 0 is out of bounds for axis 0 with size 0
BF.A,index 0 is out of bounds for axis 0 with size 0
BF.B,index 0 is out of bounds for axis 0 with size 0
HEI.A,index 0 is out of bounds for axis 0 with size 0
ITCI,index 0 is out of bounds for axis 0 with size 0
LEN.B,index 0 is out of bounds for axis 0 with size 0
UHAL.B,index 0 is out of bounds for axis 0 with size 0
AFRIW,index 0 is out of bounds for axis 0 with size 0
AI,Too Many Requests. Rate limited. Try after a while.
AIEV,Too Many Requests. Rate limited. Try after a while.
AIFE,Too Many Requests. Rate limited. Try after a while.
AIFER,Too Many Requests. Rate limited. Try after a while.
AIFEU,Too Many Requests. Rate limited. Try after a while.
AIFF,Too Many Requests. Rate limited. Try after a while.
AIFU,Too Many Requests. Rate limited. Try after a while.
AIHS,Too Many Requests. Rate limited. Try after a while.
AIMAU,Too Many Requests. Rate limited. Try after a while.
AIMAW,Too Many Requests. Rate limited. Try after a while.
AIMBU,Too Many Requests. Rate limited. Try after a while.
AIMD,Too Many Requests. Rate limited. Try after a while.
AIMDW,Too Many Requests. Rate limited. Try after a while.
AIO,Too Many Requests. Rate limited. Try after a while.
AIOT,Too Many Requests. Rate limited. Try after a while.
AIP,Too Many Requests. Rate limited. Try after a while.
AIRE,Too Many Requests. Rate limited. Try after a while.
AIRG,Too Many Requests. Rate limited. Try after a while.
AIRI,Too Many Requests. Rate limited. Try after a while.
AIRJ,Too Many Requests. Rate limited. Try after a while.
AIRJW,Too Many Requests. Rate limited. Try after a while.
AIRS,Too Many Requests. Rate limited. Try after a while.
AIRT,Too Many Requests. Rate limited. Try after a while.
AIRTP,Too Many Requests. Rate limited. Try after a while.
AISP,Too Many Requests. Rate limited. Try after a while.
AISPW,Too Many Requests. Rate limited. Try after a while.
AIT,Too Many Requests. Rate limited. Try after a while.
AITR,Too Many Requests. Rate limited. Try after a while.
AITRR,Too Many Requests. Rate limited. Try after a while.
AITRU,Too Many Requests. Rate limited. Try after a while.
AIV,Too Many Requests. Rate limited. Try after a while.
AIXI,Too Many Requests. Rate limited. Try after a while.
AIZN,Too Many Requests. Rate limited. Try after a while.
AKA,Too Many Requests. Rate limited. Try after a while.
AKAN,Too Many Requests. Rate limited. Try after a while.
AKBA,Too Many Requests. Rate limited. Try after a while.
AKRO,Too Many Requests. Rate limited. Try after a while.
