ticker,sector,industry,next_earnings,marketCap,shortName,longName
AAP,Consumer Cyclical,Specialty Retail,2025-05-27,2239842048,Advance Auto Parts Inc.,"Advance Auto Parts, Inc."
AAT,Real Estate,REIT - Diversified,2025-04-28,1565725952,"American Assets Trust, Inc.","American Assets Trust, Inc."
ABCB,Financial Services,Banks - Regional,2025-04-23,3990783744,Ameris Bancorp,Ameris Bancorp
ABG,Consumer Cyclical,Auto & Truck Dealerships,2025-04-23,4592308736,Asbury Automotive Group Inc,"Asbury Automotive Group, Inc."
ABM,Industrials,Specialty Business Services,2025-06-04,2921141760,ABM Industries Incorporated,ABM Industries Incorporated
ABR,Real Estate,REIT - Mortgage,2025-05-01,2325226240,Arbor Realty Trust,"Arbor Realty Trust, Inc."
ACA,Industrials,Engineering & Construction,2025-04-30,3885496320,"Arcosa, Inc.","Arcosa, Inc."
ACAD,Healthcare,Biotechnology,2025-05-06,2800387328,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc.
ACIW,Technology,Software - Infrastructure,2025-04-28,5588074496,"ACI Worldwide, Inc.","ACI Worldwide, Inc."
ACLS,Technology,Semiconductor Equipment & Materials,2025-04-29,1797414272,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc."
ADEA,Technology,Software - Application,2025-05-05,1466422784,Adeia Inc.,Adeia Inc.
ADMA,Healthcare,Biotechnology,2025-05-07,4704777216,ADMA Biologics Inc,"ADMA Biologics, Inc."
ADNT,Consumer Cyclical,Auto Parts,2025-05-01,1168343296,Adient plc,Adient plc
ADUS,Healthcare,Medical Care Facilities,2025-05-05,1632471680,Addus HomeCare Corporation,Addus HomeCare Corporation
AEIS,Industrials,Electrical Equipment & Parts,2025-04-29,3988112128,"Advanced Energy Industries, Inc","Advanced Energy Industries, Inc."
AEO,Consumer Cyclical,Apparel Retail,2025-05-27,2090869632,"American Eagle Outfitters, Inc.","American Eagle Outfitters, Inc."
AESI,Energy,Oil & Gas Equipment & Services,2025-05-05,2997567488,Atlas Energy Solutions Inc.,Atlas Energy Solutions Inc.
AGO,Financial Services,Insurance - Specialty,2025-05-05,4263774720,Assured Guaranty Ltd.,Assured Guaranty Ltd.
AGYS,Technology,Software - Application,2025-05-12,2061785856,"Agilysys, Inc.","Agilysys, Inc."
AHCO,Healthcare,Medical Devices,2025-05-05,1347321344,AdaptHealth Corp.,AdaptHealth Corp.
AHH,Real Estate,REIT - Diversified,2025-05-07,779150784,"Armada Hoffler Properties, Inc.","Armada Hoffler Properties, Inc."
AIN,Consumer Cyclical,Textile Manufacturing,2025-04-28,2189264896,Albany International Corporatio,Albany International Corp.
AIR,Industrials,Aerospace & Defense,2025-03-27,2439678720,AAR Corp.,AAR Corp.
AKR,Real Estate,REIT - Retail,2025-04-28,2721812224,Acadia Realty Trust,Acadia Realty Trust
AL,Industrials,Rental & Leasing Services,2025-05-05,5260495872,Air Lease Corporation,Air Lease Corporation
ALEX,Real Estate,REIT - Retail,2025-04-23,1245546240,"Alexander & Baldwin, Inc.","Alexander & Baldwin, Inc."
ALG,Industrials,Farm & Heavy Construction Machinery,2025-04-30,2219075072,"Alamo Group, Inc.",Alamo Group Inc.
ALGT,Industrials,Airlines,2025-05-05,1007872960,Allegiant Travel Company,Allegiant Travel Company
ALK,Industrials,Airlines,2025-04-16,6502211072,"Alaska Air Group, Inc.","Alaska Air Group, Inc."
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,2025-04-29,5626444288,Alkermes plc,Alkermes plc
ALRM,Technology,Software - Application,2025-05-07,2807035648,"Alarm.com Holdings, Inc.","Alarm.com Holdings, Inc."
AMBC,Financial Services,Insurance - Specialty,2025-05-05,405544128,"Ambac Financial Group, Inc.","Ambac Financial Group, Inc."
AMN,Healthcare,Medical Care Facilities,2025-05-07,919872832,AMN Healthcare Services Inc,"AMN Healthcare Services, Inc."
