ticker,error
ABLVW,index 0 is out of bounds for axis 0 with size 0
AERTW,index 0 is out of bounds for axis 0 with size 0
AIFER,index 0 is out of bounds for axis 0 with size 0
ATMCR,index 0 is out of bounds for axis 0 with size 0
BACQR,index 0 is out of bounds for axis 0 with size 0
BCGWW,index 0 is out of bounds for axis 0 with size 0
BSLKW,index 0 is out of bounds for axis 0 with size 0
CAPNR,index 0 is out of bounds for axis 0 with size 0
CAPTW,index 0 is out of bounds for axis 0 with size 0
COLAR,index 0 is out of bounds for axis 0 with size 0
COOTW,index 0 is out of bounds for axis 0 with size 0
DFLIW,index 0 is out of bounds for axis 0 with size 0
DRDBW,index 0 is out of bounds for axis 0 with size 0
DYCQR,index 0 is out of bounds for axis 0 with size 0
EMCGR,index 0 is out of bounds for axis 0 with size 0
EMCGW,index 0 is out of bounds for axis 0 with size 0
ESGLW,index 0 is out of bounds for axis 0 with size 0
ESHAR,index 0 is out of bounds for axis 0 with size 0
ESLAW,index 0 is out of bounds for axis 0 with size 0
EUDAW,index 0 is out of bounds for axis 0 with size 0
FACTW,index 0 is out of bounds for axis 0 with size 0
FBYDW,index 0 is out of bounds for axis 0 with size 0
FMSTW,index 0 is out of bounds for axis 0 with size 0
FORLW,index 0 is out of bounds for axis 0 with size 0
FOXXW,index 0 is out of bounds for axis 0 with size 0
FVNNR,index 0 is out of bounds for axis 0 with size 0
GDEVW,index 0 is out of bounds for axis 0 with size 0
GIPRW,index 0 is out of bounds for axis 0 with size 0
HPAIW,index 0 is out of bounds for axis 0 with size 0
HSCSW,index 0 is out of bounds for axis 0 with size 0
HSPTR,index 0 is out of bounds for axis 0 with size 0
HUBCZ,index 0 is out of bounds for axis 0 with size 0
IMTXW,index 0 is out of bounds for axis 0 with size 0
IVCAW,index 0 is out of bounds for axis 0 with size 0
JSPRW,index 0 is out of bounds for axis 0 with size 0
JVSAR,index 0 is out of bounds for axis 0 with size 0
LCFYW,index 0 is out of bounds for axis 0 with size 0
LOTWW,index 0 is out of bounds for axis 0 with size 0
LSBPW,index 0 is out of bounds for axis 0 with size 0
LUCYW,'NoneType' object has no attribute 'update'
MACIW,index 0 is out of bounds for axis 0 with size 0
MAYAR,index 0 is out of bounds for axis 0 with size 0
MOBXW,index 0 is out of bounds for axis 0 with size 0
MSAIW,index 0 is out of bounds for axis 0 with size 0
MSPRZ,index 0 is out of bounds for axis 0 with size 0
,'float' object has no attribute 'upper'
NOEMW,index 0 is out of bounds for axis 0 with size 0
NXLIW,index 0 is out of bounds for axis 0 with size 0
OABIW,index 0 is out of bounds for axis 0 with size 0
OACCW,index 0 is out of bounds for axis 0 with size 0
OCSAW,index 0 is out of bounds for axis 0 with size 0
OXBRW,index 0 is out of bounds for axis 0 with size 0
QETAR,index 0 is out of bounds for axis 0 with size 0
RANGR,index 0 is out of bounds for axis 0 with size 0
RDACR,index 0 is out of bounds for axis 0 with size 0
RELIW,index 0 is out of bounds for axis 0 with size 0
RIBBR,index 0 is out of bounds for axis 0 with size 0
RMCOW,index 0 is out of bounds for axis 0 with size 0
SDAWW,index 0 is out of bounds for axis 0 with size 0
SVIIR,index 0 is out of bounds for axis 0 with size 0
SVREW,index 0 is out of bounds for axis 0 with size 0
TAVIR,index 0 is out of bounds for axis 0 with size 0
TDACW,index 0 is out of bounds for axis 0 with size 0
VEEAW,index 0 is out of bounds for axis 0 with size 0
WHLRL,index 0 is out of bounds for axis 0 with size 0
WLACW,index 0 is out of bounds for axis 0 with size 0
YHNAR,index 0 is out of bounds for axis 0 with size 0
YHNAU,index 0 is out of bounds for axis 0 with size 0
YOTAW,index 0 is out of bounds for axis 0 with size 0
ZOOZW,index 0 is out of bounds for axis 0 with size 0
