Symbol,Description,Focus,Exchange,Index tracked,Asset class,Focus,Focus
SPY,SPDR S&P 500 ETF Trust,Large cap,AMEX,S&P 500,Equity,Large cap,Large cap
GLD,SPDR Gold Shares,Gold,AMEX,LBMA Gold Price PM ($/ozt),Commodities,Gold,Gold
XLK,Technology Select Sector SPDR Fund,Information technology,AMEX,S&P Technology Select Sector,Equity,Information technology,Information technology
SPLG,SPDR Portfolio S&P 500 ETF,Large cap,AMEX,S&P 500,Equity,Large cap,Large cap
XLF,Financial Select Sector SPDR Fund,Financials,AMEX,S&P Financial Select Sector,Equity,Financials,Financials
SPYG,SPDR Portfolio S&P 500 Growth ETF,Large cap,AMEX,S&P 500 Growth,Equity,Large cap,Large cap
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Investment grade,AMEX,Bloomberg US Treasury - Bills (1-3 M),Fixed income,Investment grade,Investment grade
DIA,SPDR Dow Jones Industrial Average ETF Trust,Large cap,AMEX,DJ Industrial Average,Equity,Large cap,Large cap
XLV,Health Care Select Sector SPDR Fund,Health care,AMEX,S&P Health Care Select Sector,Equity,Health care,Health care
SPDW,SPDR Portfolio Developed World ex-US ETF,Total market,AMEX,S&P Developed x United States BMI,Equity,Total market,Total market
SPYV,SPDR Portfolio S&P 500 Value ETF,Large cap,AMEX,S&P 500 Value,Equity,Large cap,Large cap
XLC,Communication Services Select Sector SPDR Fund,Communication services,AMEX,S&P Communication Services Select Sector Index,Equity,Communication services,Communication services
XLE,Energy Select Sector SPDR Fund,Energy,AMEX,S&P Energy Select Sector,Equity,Energy,Energy
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer discretionary,AMEX,S&P Consumer Discretionary Select Sector,Equity,Consumer discretionary,Consumer discretionary
XLI,Industrial Select Sector SPDR Fund,Industrials,AMEX,S&P Industrial Select Sector,Equity,Industrials,Industrials
MDY,SPDR S&P Midcap 400 ETF Trust,Mid cap,AMEX,S&P Mid Cap 400,Equity,Mid cap,Mid cap
GLDM,SPDR Gold Minishares Trust of beneficial interest,Gold,AMEX,LBMA Gold Price PM ($/ozt),Commodities,Gold,Gold
XLU,Utilities Select Sector SPDR Fund,Utilities,AMEX,S&P Utilities Select Sector,Equity,Utilities,Utilities
SDY,SPDR S&P Dividend ETF,High dividend yield,AMEX,S&P High Yield Dividend Aristocrats,Equity,High dividend yield,High dividend yield
XLP,Consumer Staples Select Sector SPDR Fund,Consumer staples,AMEX,S&P Consumer Staples Select Sector,Equity,Consumer staples,Consumer staples
SPMD,SPDR Portfolio S&P 400 Mid Cap ETF,Mid cap,AMEX,S&P Mid Cap 400,Equity,Mid cap,Mid cap
SPEM,SPDR Portfolio Emerging Markets ETF,Total market,AMEX,S&P Emerging Markets BMI,Equity,Total market,Total market
SPSM,SPDR Portfolio S&P 600 Small Cap ETF,Small cap,AMEX,S&P Small Cap 600,Equity,Small cap,Small cap
