ticker,,,
XLF,Financial Sel Sec SPDR ETF,,
XLE,Energy Sel Sec SPDR ETF,,
XLK,Technology Sel Sec SPDR ETF,, 
XLV,Health Sel Sec SPDR ETF,,
XLI,Industrials Sel Sec SPDR ETF,,
XLB,Materials Sel Sec SPDR ETF,,
XLRE,Real Estate Sel Sec SPDR ETF,,
XLP,Staples Sel Sec SPDR ETF,,
XLY,Discretionary Sel Sec SPDR ETF,,
XLU,Utilities Sel Sec SPDR ETF,,
XLC,Communication Sel Sec SPDR ETF,,
QQQ,NASADQ ETF,,
SPY,SP 500 ETF,,
IWM,iShares Russell 2000 ETF ,,
IWF,iShares Russell 1000 Growth ETF ,,
IWD,iShares Russell 1000 Value ETF ,,
SPYG,SP 500 ETF Growth,,
SPYV,SP 500 ETF Value,,
MDYG,State Street SPDR S&P 400 Mid Cap Growth ETF,,
MDYV,State Street SPDR S&P 400 Mid Cap Value ETF,,
IWO, iShares Russell 2000 Growth ETF ,,
IWN, iShares Russell 2000 Value ETF ,,
IJT,iShares S&P Small-Cap 600 Growth ETF (IJT),,
IJS,iShares S&P Small-Cap 600 Value ETF (IJT),,
^DJI,Dow Jones Industrial Average,,
^DJT,Dow Jones Transportation Average,,
^DJU,Dow Jones Utility Average,,
^VIX,CBOE Index,,
^YH31130020,Semiconductors,,
^YH31110030,Software - Infrastructure,,
^YH31120030,Consumer Electronics,,
^YH31110020,Software - Application,,
^YH31130010,Semiconductor Equipment & Materials,,
^YH31120020,Computer Hardware,,
^YH31120010,Communication Equipment,,
^YH31120040,Electronic Components,,
^YH31110010,Information Technology Services,,
^YH31120060,Scientific & Technical Instruments,,
^YH31130030,Solar,,
^YH31120050,Electronics & Computer Distribution,,
^YH10320010,Banks - Diversified,,
^YH10360010,Credit Services,,
^YH10310010,Asset Management,,
^YH10330010,Capital Markets,,
^YH10340060,Insurance - Diversified,,
^YH10320020,Banks - Regional,,
^YH10340020,Insurance - Property & Casualty,,
^YH10330020,Financial Data & Stock Exchanges,,
^YH10340010,Insurance - Life,,
^YH10340050,Insurance Brokers,,
^YH10340040,Insurance - Specialty,,
^YH10320030,Mortgage Finance,,
^YH10340030,Insurance - Reinsurance,,
^YH10350020,Financial Conglomerates,,
^YH10350010,Shell Companies,,
^YH10280050,Internet Retail,,
^YH10200020,Auto Manufacturers,,
^YH10270010,Restaurants,,
^YH10280030,Home Improvement Retail,,
^YH10290050,Travel Services,,
^YH10280010,Apparel Retail,,
^YH10200030,Auto Parts,,
^YH10290030,Lodging,,
^YH10280060,Specialty Retail,,
^YH10230010,Residential Construction,,
^YH10250010,Packaging & Containers,,
^YH10200010,Auto & Truck Dealerships,,
^YH10240030,Footwear & Accessories,,
^YH10290040,Resorts & Casinos,,
^YH10290020,Leisure,,
^YH10240020,Apparel Manufacturing,,
^YH10220010,"Furnishings, Fixtures & Appliances",,
^YH10290010,Gambling,,
^YH10260010,Personal Services,,
^YH10280040,Luxury Goods,,
^YH10200040,Recreational Vehicles,,
^YH10280020,Department Stores,,
^YH10240010,Textile Manufacturing,,
^YH31010010,Aerospace & Defense,,
^YH31070020,Specialty Industrial Machinery,,
^YH31050010,Farm & Heavy Construction Machinery,,
^YH31080030,Railroads,,
^YH31040010,Engineering & Construction,,
^YH31040030,Building Products & Equipment,,
^YH31070060,Electrical Equipment & Parts,,
^YH31080060,Integrated Freight & Logistics,,
^YH31060010,Industrial Distribution,,
^YH31030010,Conglomerates,,
^YH31020010,Specialty Business Services,,
^YH31090010,Waste Management,,
^YH31020030,Rental & Leasing Services,,
^YH31080020,Airlines,,
^YH31080050,Trucking,,
^YH31070030,Metal Fabrication,,
^YH31070050,Tools & Accessories,,
^YH31020020,Consulting Services,,
^YH31080040,Marine Shipping,,
^YH31020040,Security & Protection Services,,
^YH31070040,Pollution & Treatment Controls,,
^YH31020050,Staffing & Employment Services,,
^YH31080010,Airports & Air Services,,
^YH31070010,Business Equipment & Supplies,,
^YH31040020,Infrastructure Operations,,
^YH20620010,Drug Manufacturers - General,,
^YH20610010,Biotechnology,,
^YH20630010,Healthcare Plans,,
^YH20650010,Medical Devices,,
^YH20660010,Diagnostics & Research,,
^YH20650020,Medical Instruments & Supplies,,
^YH20670010,Medical Distribution,,
^YH20645010,Medical Care Facilities,,
^YH20620020,Drug Manufacturers - Specialty & Generic,,
^YH20645030,Health Information Services,,
^YH20645020,Pharmaceutical Retailers,,
^YH20550010,Discount Stores,,
^YH20520010,Beverages - Non-Alcoholic,,
^YH20525030,Household & Personal Products,,
^YH20560010,Tobacco,,
^YH20525040,Packaged Foods,,
^YH20525010,Confectioners,,
^YH20525020,Farm Products,,
^YH20550020,Food Distribution,,
^YH20550030,Grocery Stores,,
^YH20540010,Education & Training Services,,
^YH20510010,Beverages - Brewers,,
^YH20510020,Beverages - Wineries & Distilleries,,
^YH30910030,Oil & Gas Integrated,,
^YH30910040,Oil & Gas Midstream,,
^YH30910020,Oil & Gas E&P,,
