Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,industry,sector,exchange,Symbol
2020-03-01 00:00:00-05:00,18.938297128956894,18.94577392747613,12.373817764686532,16.919607162475586,5481600,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-04-01 00:00:00-04:00,17.046707330007365,18.975676851171634,15.22241154636898,18.83362197875977,3304800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-05-01 00:00:00-04:00,18.10091412948968,19.37568046165106,17.285963060324864,18.69156837463379,987400,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-06-01 00:00:00-04:00,18.728950685494617,18.83362443668117,18.10839068096349,18.444839477539062,1038700,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-07-01 00:00:00-04:00,18.452315315817444,18.953249372402723,18.402222337974937,18.87848281860352,579800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-08-01 00:00:00-04:00,18.938296161228088,19.970070061250283,18.92334256495373,19.685958862304688,1301300,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-09-01 00:00:00-04:00,19.99742430380985,20.527458849450436,19.686975952406296,20.217010498046875,852300,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-10-01 00:00:00-04:00,20.31544303894043,21.042347456462984,19.92927529279217,20.31544303894043,389100,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-11-01 00:00:00-04:00,20.247295623094487,20.70539602280828,19.770265729320133,19.82326889038086,724500,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2020-12-01 00:00:00-05:00,20.090195021716077,21.07169976808264,20.0595222671134,20.73430824279785,1222100,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-01-01 00:00:00-05:00,20.80332255949249,20.81099074944948,19.683793151811148,20.44292640686035,289700,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-02-01 00:00:00-05:00,20.396917371556743,20.818657553205693,19.44608381856681,19.93683624267578,243000,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-03-01 00:00:00-05:00,20.249248106965887,21.025974165424035,20.249248106965887,20.932767868041992,286800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-04-01 00:00:00-04:00,20.994908236333448,21.0648137079146,20.74635462544072,20.87063217163086,528800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-05-01 00:00:00-04:00,20.94830732824299,20.97160965007869,20.35022921600482,20.63761711120605,535300,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-06-01 00:00:00-04:00,20.94046500325872,21.734974163237588,20.885398660123517,21.577646255493164,399700,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-07-01 00:00:00-04:00,21.593381096685928,21.672044306185693,21.33378860428488,21.5225830078125,253000,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-08-01 00:00:00-04:00,23.04867053363315,23.04867053363315,21.302321247259147,21.569780349731445,308300,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-09-01 00:00:00-04:00,21.76451640854736,22.28215004932833,21.549498867028248,21.724699020385746,322500,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-10-01 00:00:00-04:00,21.70080854242498,22.226405985607364,21.35837352239548,21.89989852905273,290900,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-11-01 00:00:00-04:00,21.98750154190036,22.19535126048127,20.992051475989424,21.000015258789062,188200,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2021-12-01 00:00:00-05:00,21.346771210870667,21.854836530573003,20.9427394417758,21.088706970214844,649300,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-01-01 00:00:00-05:00,21.145159359337185,21.258063623755262,20.48386932593757,20.782257080078125,2881900,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-02-01 00:00:00-05:00,20.806446790046618,21.11289920236077,19.835480401179428,20.08064079284668,680400,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-03-01 00:00:00-05:00,20.39563371274802,21.07821226812349,19.733489792455803,20.90245819091797,680100,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-04-01 00:00:00-04:00,20.80436540744637,20.85341258922621,18.433729273148334,19.1776180267334,541900,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-05-01 00:00:00-04:00,19.03864889976978,19.83158473635284,18.024996874719186,19.087696075439453,631600,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-06-01 00:00:00-04:00,19.416408978864453,19.55734796251128,16.95660949476159,18.07334327697754,461400,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-07-01 00:00:00-04:00,18.22257594482336,19.0350471211752,17.675401350031926,18.993595123291016,836100,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-08-01 00:00:00-04:00,18.86094385616012,19.656833475246003,17.965567244042443,18.264026641845703,483800,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-09-01 00:00:00-04:00,18.4298889466896,19.092187346052903,17.689327892415164,18.00911521911621,399600,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-10-01 00:00:00-04:00,18.076437409258038,18.3078626186561,16.847779000017848,17.167566299438477,328400,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-11-01 00:00:00-04:00,17.31904575767576,17.393101378123564,16.326019549941424,16.822532653808594,848200,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2022-12-01 00:00:00-05:00,17.03078276353402,17.760796275608175,16.31018461027289,16.67133903503418,680300,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-01-01 00:00:00-05:00,16.756916911999326,18.9863224817205,16.534404028983484,18.742414474487305,607300,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-02-01 00:00:00-05:00,18.52846431596928,19.219110579486536,18.357301649717886,18.828001022338867,354100,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-03-01 00:00:00-05:00,19.194226846855244,19.976245711537302,16.248621738383118,18.91617584228516,695200,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-04-01 00:00:00-04:00,18.85535407746559,19.307186171618767,17.760526906130668,19.12471580505371,303200,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-05-01 00:00:00-04:00,19.05520025611982,19.150780904974155,17.013261029137915,17.213109970092773,484700,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-06-01 00:00:00-04:00,17.54139074510449,17.983239369991157,17.152563483258973,17.850685119628906,1687700,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-07-01 00:00:00-04:00,17.850684592206743,18.05835229361492,17.055355742494793,17.6739444732666,450500,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-08-01 00:00:00-04:00,17.408834779293514,18.327878952026367,17.355811735958454,18.327878952026367,1519000,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-09-01 00:00:00-04:00,18.42143748784568,19.014517777167136,17.873286848277925,17.900245666503906,385300,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-10-01 00:00:00-04:00,17.81667359210639,17.837342189323184,16.794958621554184,17.25324821472168,303800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-11-01 00:00:00-04:00,17.082512913797093,19.32902957714827,17.082512913797093,18.19678497314453,423800,0.336,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2023-12-01 00:00:00-05:00,18.60361371620836,19.580828256162192,17.964313605346568,18.366159439086918,884800,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
2024-01-01 00:00:00-05:00,18.3661607186599,20.284057700960105,18.146972541881382,19.580829620361328,632200,0.0,0.0,6010,13400,24.42,19.3,21.48784,21.883015,Banks - Regional,Financial Services,NMS,FCNCP
