Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,volume,averageDailyVolume10Day,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyDayAverage,twoHundredDayAverage,marketCap,exchange,Symbol
2024-01-01 00:00:00-05:00,196.0981444033371,198.28138479089213,189.10587775803148,190.04998779296875,185953100,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-01-08 00:00:00-05:00,190.0893385423101,193.83626203266329,188.1323002035585,190.03033447265625,187550600,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-01-15 00:00:00-05:00,188.5453260240656,190.059818692332,184.4247054767752,189.2435607910156,185099000,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-01-22 00:00:00-05:00,190.9350879323815,195.30156891729408,190.8760838660104,192.7347869873047,197108900,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-01-29 00:00:00-05:00,192.91181789586403,196.10800160537048,188.3584806092854,191.1907958984375,242800600,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-02-05 00:00:00-05:00,189.2829181950945,196.2456832956773,186.9128214364737,196.0391540527344,187632800,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-02-12 00:00:00-05:00,196.5603566155368,201.37922673366148,189.86312550847,198.3207244873047,266624500,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-02-19 00:00:00-05:00,195.85228056400857,197.8093336702902,193.1379886479921,196.5800323486328,135069000,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-02-26 00:00:00-05:00,196.38335070801992,202.91339884711485,195.8522841239838,202.48068237304688,167091700,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-03-04 00:00:00-05:00,203.601821338386,206.92585724782387,199.64838368931527,203.40513610839844,162672100,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
2024-03-11 00:00:00-04:00,202.5495380408035,203.4149560152468,196.8554055985983,199.05831909179688,185261500,0.0,0.0,0.0,29103705,33998600,244.98,171.73,219.839,216.2513,63351476224,PCX,IWM
